From: @jairbolsonaro,Data publicação,Link
Obrigado molecada! Um abraço a vocês e seus pais! Kkkkkk! Fiquem com Deus!,11/08/2018,https://twitter.com/jairbolsonaro/status/1028446786992652293?s=20
Meu Deus! Kkkkkkkk! É inacreditável!,14/08/2018,https://twitter.com/jairbolsonaro/status/1029519185557291008?s=20
"Livre de acordões com corruptos para atender aos interesses da nação e  não de partidos políticos; Contra o aborto; A favor da redução da  maioridade penal; Por fim, um presidente que seja honesto, patriota e tenha Deus no coração. VAMOS JUNTOS MUDAR O BRASIL! 👉👉",16/08/2018,https://twitter.com/jairbolsonaro/status/1030195606222974978?s=20
"Sou Jair Messias Bolsonaro, Capitão do Exército Brasileiro e candidato à Presidência da República com o número 17. Um forte abraço!
""BRASIL ACIMA DE TUDO, DEUS ACIMA DE TODOS!""",17/08/2018,https://twitter.com/jairbolsonaro/status/1030583128404975616?s=20
"Nossa equipe está sendo formada visando um governo bem-sucedido sem a obsessão pelo poder. Sem marketeiros, sem falsas promessas, sem discurso pronto e sem indicações políticas. Somos os únicos realmente em condições de mudar o Brasil! Boa noite a todos e fiquem com Deus!",18/08/2018,https://twitter.com/jairbolsonaro/status/1030656380045287427?s=20
"Meus sentimentos aos parentes e amigos dos três Policiais Militares que foram executados na tarde de hoje, na Vila Manoel Sátiro, em Fortaleza, Ceará. É inadmissível que este tipo de barbaridade esteja acontecendo diariamente em nosso país. Que Deus conforte as famílias!",23/08/2018,https://twitter.com/jairbolsonaro/status/1032772786178154496?s=20
"Agradeço do fundo do meu coração a Deus, minha esposa e filhos, que estão ao meu lado, aos médicos que cuidam de mim e que são essenciais para que eu pudesse continuar com vocês aqui na terra, e a todos pelo apoio e orações!",07/09/2018,https://twitter.com/jairbolsonaro/status/1038112690143731712?s=20
"Continuamos à frente na disputa, contando com a espontânea ajuda de sempre que parte de cada um de nós, dentro das condições possíveis. De forma alguma estamos fora do pleito! Não daremos esse gosto a quem desejou este desfecho! Brasil Acima de Tudo! Deus acima de todos!",09/09/2018,https://twitter.com/jairbolsonaro/status/1038857046467256326?s=20
"Aos que se preocuparam e fizeram suas orações na noite passada o meu muito obrigado! Tudo correu bem, graças a Deus e aos que estão cuidando de minha saúde e recuperação, faxineiros, enfermeiros, psicólogo, fisioterapeuta e médicos. Seguimos firmes! 👍🏻",13/09/2018,https://twitter.com/jairbolsonaro/status/1040332132684623874?s=20
Deus no comando! 🇧🇷,15/09/2018,https://twitter.com/jairbolsonaro/status/1041044562909777920?s=20
"Momento de resgatar nosso orgulho de ser brasileiro; de estampar nossa bandeira verde e amarela em nossas casas; de resgatarmos nosso direito de ir e vir; Falta pouco para darmos o primeiro passo em direção à grandeza! Brasil acima de tudo, Deus acima de todos!",02/10/2018,https://twitter.com/jairbolsonaro/status/1047287089354735616?s=20
"Estamos fortes, com poucos recursos, sem acordões, sem tempo de TV e impossibilitado de fazer campanha na rua pela tentativa de assassinato que sofri. Nossa força é apenas a verdade e o apoio de todos vocês. O BRASIL É NOSSO! Vamos à vitória! Boa tarde e fiquem com Deus!",06/10/2018,https://twitter.com/jairbolsonaro/status/1048621390700662784?s=20
